Q104,Q104_4_TEXT,Q107,Q107_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q120,Q120_4_TEXT,Q123,Q123_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q1,Q5,Q5_7_TEXT,Q37,Q37_4_TEXT,Q38,Q39,Q40_1,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q42,Q42_4_TEXT,Q70,Q72,Q66,Q62,Q74,Q64,Q71,Q73,Q83,Q84,Q80,Q78,Q79,SC0,id,attemptCount,attemptCount2,Test score
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,2,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,No,N/A,Being honest with investors about the actual EPS,No questions,Follow the consensus,19,White,,Female,,Marketing,3.82,3,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree or disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be a man without air for one day,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,Comet,11,1,6,4,1,29693,0,0,1
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,3,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,No opinion,n/a,n/a,n/a,Follow the consensus,20,Black or African American,,Female,,Business,3.33,7,Agree strongly,Disagree,Neither agree or disagree,Agree strongly,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Democrat,,42,the traveler would not necessarily end up in the same place in (1) or (2),Black,90 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,no clue,11,3,5,6,3,28654,0,0,3
$4.50 ,,$4.75 ,,4,3,Neither agree or disagree,Agree,Agree,Agree strongly,Agree,Agree,Agree,Agree,No,I think the first policy was more ethical and transparent ,I believe that transparency and specific details are key characteristics of an ethical reporting policy.,No questions,Follow the consensus,,,,,,,,,,,,,,,,,,,,20,Asian,,Female,,Economics + Computer Science ,3.75,7,Disagree,Disagree,Neither agree or disagree,Agree,Disagree,Disagree,Disagree,Disagree,Democrat,,10,the traveler would not necessarily end up in the same place in (1) or (2),Brown,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,Star...,500,4,6,9,4,29130,0,0,4
$4.50 ,,$4.75 ,,2,3,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,"As said, it would be very tricky to explain the change and still save face.","I would view a policy that discloses these changes as being more ethical, rather than one that attempts to hide them. ",Is there a way to implement the new policy while minimizing backlash?,Follow the consensus,,,,,,,,,,,,,,,,,,,,20,Asian,,Female,,Finance,3.77,4,Agree strongly,Agree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Other,,0,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Not sure,11,5,6,7,5,29584,0,0,5
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,5 (most ethical),Neither agree or disagree,Disagree,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Yes,Just tell the truth,ethical would be reporting the actual numbers,no qu,Follow the consensus,22,White,,Male,,Finance,3.4,5,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Independent,,42,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,two or more countries press the button and nuclear annihilation occurs,asterioid,1,4,8,10,4,29353,0,0,4
$4.50 ,,$4.75 ,,3,4,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,"I would recommend changing to the new policy gradually. Instead of jumping the $0.50 at one time, it could make more sense to do it in small increments.",Investors must understand the true value. The should be aware of this even if they do not have any background information regarding the company.,No questions,Abstain,,,,,,,,,,,,,,,,,,,,19,White,,Female,,Marketing,3.91,4,Agree,Disagree,Agree,Neither agree or disagree,Disagree strongly,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an earthworm crushed in an industrial press,"""Will you let me through the correct door?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,No idea,11,,5,8,1,29570,0,0,1
$4.50 ,,$4.75 ,,3,4,Agree,Disagree,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Yes,I think that it is more ethical to use the new policy. ,"I think it is ethical to report an unbiased number to investors, however, you would need to explain that it is unecessary to assume that they were ever overestimating. ",no questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,20,"White,Asian",,Female,,Marketing,3.9,6,Agree,Neither agree or disagree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Agree,Democrat,,100,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Brown,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the immovable briefly teleports out of the way to let the unstoppable force through,"one country presses the button and the others do not, that country wins the war",meteor,500,4,7,9,4,29832,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,2,Disagree,Neither agree or disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,No,"It is difficult for everyone to adapt to a needless change, and problems could arise.","They are clear, and investors understand exactly what is being reported.",No questions,Against (retain current policy),18,White,,Male,,Finance,N/A (freshman) ,6,Agree,Disagree strongly,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Republican,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be a common cold virus thrown into sulfuric acid,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Comet,11,3,10-May,10-Jul,3,29385,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,For legal reasons it seems like it makes sense,As long as it's clear to all investors it's ethical,None,In Favor (adopt new policy),21,White,,Male,,Economics and Finance,3.78,8,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Disagree,Neither agree or disagree,Agree,Agree,Democrat,,10,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Rock,11,3,4,7,3,29656,0,0,3
$4.50 ,,$4.75 ,,4,2,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,No,I don't want other board members to disagree with me and be on anyones bad side,"I think as long as there is transparency as to why the company is doing what they are, it is ethical",No questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,20,Asian,,Male,,CS Finance,3.93,6,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Other,Don't want to disclose,100,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Impossible to tell,90 minutes,Be an earthworm crushed in an industrial press,"""Is the other guard lying?""",the unstoppable force goes around the immovable object,"one country presses the button and the others do not, that country wins the war",Sattelite,500,,5,5,2,29661,0,0,2
$4.50 ,,$4.75 ,,3,4,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Yes,I believe it is better to adjust to the real EPS over assuming investors know what to adjust for already. ,All exact information should be included in a report. ,No,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,21,White,,Male,,Finance,3.75,9,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Republican,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Does your door lead to freedom?""",the immovable object repels the unstoppable force,two or more countries press the button and nuclear annihilation occurs,An asteroid. ,11,3,6,8,3,29663,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,3,Neither agree or disagree,Disagree strongly,Neither agree or disagree,Disagree strongly,Neither agree or disagree,Disagree strongly,Agree,Neither agree or disagree,No,"The firm has been operating under certain assumptions for many years and it has worked out for fine for them. If it ain't broke, don't fix it!","It wouldn't be ethical if everyone was decieved an no one knew the earnings reports were not accurate. But because it is an unspoken understanding and investors are aware of this bias, it's not really unethical.",No questions,Against (retain current policy),20,White,,Female,,psychology and finance ,4,2,Agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Neither agree or disagree,Disagree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,the sun,999,4,8,7,4,28680,0,0,4
$4.50 ,,$4.75 ,,3,4,Neither agree or disagree,Disagree strongly,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,"As long as the policy is unbiased and not influenced by the board, then investors are left responsible for the way they read or interpret the information.",The way the information is framed plays a huge role on the ethics of the policy ,No questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,19,"White,Black or African American",,Female,,Political Study ,3.9,6,Agree,Disagree,Disagree,Agree,Disagree strongly,Disagree strongly,Neither agree or disagree,Disagree,Republican,,100,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,60 minutes,Be an earthworm crushed in an industrial press,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Star,11,,6,8,2,28643,0,0,2
$4.50 ,,$4.75 ,,3,4,Disagree,Disagree strongly,Agree,Disagree,Agree,Disagree strongly,Agree,Disagree strongly,Yes,Switching to the new plan will enhance the ethical standing of the company by clearly reporting the companies financial standing.,"I would view policies such as accurate reporting, transparency, and fairness as vital to an ethical interpretation. It should avoid any intention of misleading investors and prioritize trust and honesty.",1. How will the team communicate the changes? 2. Will they need to do additional outreach to rebuild trust?,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,20,White,,Male,,Finance,3.8,5,Disagree,Disagree strongly,Agree,Disagree,Disagree strongly,Disagree,Agree,Neither agree or disagree,Independent,,100,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,comet,11,1,7,7,1,29659,0,0,1
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,4,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree strongly,Agree strongly,No,i think they shouldnt ,its not ethic ,no questions,Against (retain current policy),19,White,,Female,,finance,3.9,7,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Republican,,100,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Is the other guard lying?""",the unstoppable force goes around the immovable object,two or more countries press the button and nuclear annihilation occurs,i have no clye,500,,2,10,2,29793,0,0,2
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,2,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,I think investors can adapt to new changes. It is better to be honest about earnings than to lie.,An ethical policy would involve telling the truth about earnings.,No questions,Follow the consensus,19,"White,Other",Middle Eastern,Male,,Undecided,3.63,6,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Republican,,100,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Will you let me through the correct door?""",the unstoppable force moves through the immovable object without interacting with it,"one country presses the button and the others do not, that country wins the war",Meteor,11,3,4,5,3,28834,0,0,3
$4.50 ,,$4.75 ,,3,4,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree strongly,Agree,Yes,Better informs investors and members,All details are reported to investors and shareholders,No questions,Follow the consensus,,,,,,,,,,,,,,,,,,,,18,"Spanish, Hispanic, or Latino",,Male,,Finance,N/A,7,Agree,Neither agree or disagree,Disagree,Agree,Disagree strongly,Disagree,Neither agree or disagree,Neither agree or disagree,Republican,,0,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Meteor,1,3,6,7,3,29331,0,0,3
$4.50 ,,$4.75 ,,3,3,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,I think the policy is good ,Honest reporting including all information that is relevant for those who need to know ,no questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,22,White,,Male,,Finance ,3.75,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Democrat,,100,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be a man without air for one day,"""Will you let me through the correct door?""",the immovable object repels the unstoppable force,two or more countries press the button and nuclear annihilation occurs,A star,500,10,7,8,3,28952,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,3,Disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,"There should be honest communication, even if it is 50 cents thats still money. ",Honest transactions. ,no questions ,In Favor (adopt new policy),19,Asian,,Female,,Undecided,3.9,6,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree or disagree,Democrat,,10,the traveler would necessarily end up in the same place in (1) and (2),Brown,120 minutes,Be a fish thrown in lava,"""Will you let me through the correct door?""",the immovable briefly teleports out of the way to let the unstoppable force through,"one country presses the button and the others do not, that country wins the war",i dont know,500,,10-Jun,10-May,2,29652,0,0,2
$4.50 ,,$4.75 ,,4,3,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Yes,I would reccommend to say the actual price and not increase by $.50 or any amount ,"a reporting survey is a policy that states premium based on the actual reported exposures, and this would be ethical because they would tell the actual truth of how much they have to pay",no questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,19,White,,Female,,business marketing ,3.54,6,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,two or more countries press the button and nuclear annihilation occurs,asteroid ,11,,1,3,1,29390,0,0,1
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,4,Agree,Disagree strongly,Agree,Disagree strongly,Neither agree or disagree,Disagree strongly,Agree,Disagree strongly,No,"Although by the books this is not allowed, it is mutually understood by the investing community"," Does not incorrectly report numbers (earnings, costs etc)",How percent of similar companies like us do we estimate have a policy in place similar to our current one,Against (retain current policy),20,White,,Male,,Math and Economics,3.68,6,Agree strongly,Disagree,Agree,Agree strongly,Disagree,Disagree strongly,Agree,Disagree,Independent,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be a fish thrown in lava,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,two or more countries press the button and nuclear annihilation occurs,earth,500,4,7,6,4,29313,0,0,4
$4.50 ,,$4.75 ,,2,4,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,Make it clear what is happening to show the investors the truth.,I believe telling the truth is ethical because it would allow the investors to understand what is happening. I also believe being open about policy changes is ethical.,No Questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,18,White,,Male,,Buisness,Freshman(no grades yet),8,Disagree,Disagree,Neither agree or disagree,Agree,Agree,Disagree,Disagree,Disagree,Republican,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Don't know,1,,8,7,4,29526,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,"Because it is not only good for current shareholders, but also for other analysts to fairly and correctly value the company.","Disclosing every necessay detail to relevent shareholders, especially not misleading them to view the firm positively towards the firm.",What is the origination of this bias?,In Favor (adopt new policy),20,Asian,,Male,,Finance & Economics,3.93,4,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Agree,Other,,100,the traveler would necessarily end up in the same place in (1) and (2),White,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,two or more countries press the button and nuclear annihilation occurs,Oumuamua,999,5,7,8.5,5,28705,0,0,5
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,3,Agree,Neither agree or disagree,Agree,Disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Yes,To increase transparency among investors,"Clear, factual, and simplistic",none,In Favor (adopt new policy),20,Black or African American,,Female,,Business,3.9,6,Agree,Neither agree or disagree,Disagree,Disagree,Disagree strongly,Disagree,Neither agree or disagree,Neither agree or disagree,Democrat,,0,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an earthworm crushed in an industrial press,"""Does your door lead to freedom?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,Satellite,500,2,5,4,2,29629,0,0,2
$4.50 ,,$4.75 ,,2,4,Neither agree or disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,"Since there's no effective way for the company to communicate the change in policy to investors, it's better for them to maintain the current policy so as to mitigate the negative recoil.","Ethical reporting policy for me would mean reporting policies that truly, rather than falsely, represent the companies state.",No questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,20,Black or African American,,Male,,Business and Computer Science,N/A since I'm in the fall semester of my freshman year.,6,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Democrat,,100,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Does your door lead to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,omuamua,11,1,8,8,1,29369,0,0,1
$4.50 ,,$4.75 ,,4,2,Neither agree or disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,I would have it reflect the true price,Honesty,no questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,19,Asian,,Female,,Finance,3.85,8,Agree strongly,Disagree,Neither agree or disagree,Agree,Disagree,Disagree,Neither agree or disagree,Disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,star,11,2,10-Jul,10-Oct,2,28708,0,0,2
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,5 (most ethical),Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Yes,"I would recommend changing to the new policy because it is more honest and even if the under reporting is by 50 cents, it's still deceptive. ",I viewed characteristics of reporting policy such as honest disclosure and timelines as ethical. ,No questions,In Favor (adopt new policy),21,Black or African American,,Female,,International Affairs,3.8,4,Agree,Disagree strongly,Disagree,Disagree strongly,Disagree,Disagree strongly,Neither agree or disagree,Neither agree or disagree,Democrat,,10,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",Impossible to tell,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Astreoid ,999,,4,3,2,29757,0,0,2
$4.50 ,,$4.75 ,,2,4,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Yes,It is more important to be not biased.,Honesty and precision is the most important and ethical thing in regard of reporting policy.,no questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,23,Asian,,Male,,finance ,3.9,7,Agree strongly,Neither agree or disagree,Disagree strongly,Agree,Disagree,Disagree,Neither agree or disagree,Agree,Republican,,100,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be an alien on the surface of a star going supernova,"""Does your door lead to freedom?""",the unstoppable force goes around the immovable object,two or more countries press the button and nuclear annihilation occurs,space debris,999,,9,7,3,29644,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,2,Neither agree or disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,No,if they change the policy now people will be more decieved then if they keep policy the same ,a explanation to teh enntirety of the publuc about new plan. it would be ethical to report true numbers but only if people knew they were chnaging plans ,no questions ,Against (retain current policy),20,White,,Female,,psychology ,3.7,6,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be a fish thrown in lava,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,i dont know ,1,,3,3,0,29789,0,0,0
$4.50 ,,$4.75 ,,4,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,I value transparency and this is not transparent to investors.,Constant communication with investors and not implementing change without proper checks and balances.,No questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,19,Other,,Male,,Finance,N/A,8,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Independent,,10,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Is the other guard lying?""",the immovable briefly teleports out of the way to let the unstoppable force through,no country presses the button and the status-quo remains,Asteroid,1,1,6,7,1,29420,0,0,1
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,3,Agree,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Agree,Disagree,No opinion,"Although I do not have a particular opinion, I can see why no one has changed the policy, because everyone has reached a point where this policy would be irrelevant to the perceived earnings of the company. Also, it seems easier to keep things as they are and not risk the loss in shares.","The ethical characteristics of a reporting policy is the truthfulness associated with reporting accurate amounts, rather than misleading true profits.",No questions,Abstain,20,"Spanish, Hispanic, or Latino",,Female,,Economics & Strategy,3.5,7,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Independent,,0,the traveler would not necessarily end up in the same place in (1) or (2),Brown,60 minutes,Be a man without air for one day,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Unsure,11,,3,4,1,29630,0,0,1
$4.50 ,,$4.75 ,,3,4,Agree,Disagree,Agree,Disagree,Agree strongly,Disagree strongly,Agree,Disagree,No,"Because of the damaging stock price and operational effects of this change, I wouldn't. i would only change the policy when the company is performing extremely well and can afford to change the policy.","If it is untruthful to new investors and stockholders then it is unethical. Thus who know about the over-reporting have a different perspective then those who do not know about the over-reporting, making it unethical.",No questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,19,"White,Spanish, Hispanic, or Latino",,Male,,Marketing & Finance,3.49,8,Agree,Disagree,Neither agree or disagree,Agree,Disagree,Agree strongly,Agree,Agree,Independent,,100,the traveler would necessarily end up in the same place in (1) and (2),Brown,60 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,a meteor,999,2,6,7,2,29199,0,0,2
$4.50 ,,$4.75 ,,4,4,Agree,Neither agree or disagree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,No opinion,N/A,If everything is fully disclosed and conveyed clearly to the investor about any policy changes,No questions,Follow the consensus,,,,,,,,,,,,,,,,,,,,20,Asian,,Male,,Finance,3.9,7,Agree,Neither agree or disagree,Neither agree or disagree,Agree strongly,Disagree,Disagree strongly,Disagree,Disagree,Democrat,,0,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Black,90 minutes,Be a fish thrown in lava,"""Does your door lead to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Don't know,500,,3,6,1,29251,0,0,1
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,5 (most ethical),Agree,Disagree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Yes,need to give everyone the truth ,to be ethical means its truthful and gives all information needed ,why do we under report 50cents?,Follow the consensus,19,White,,Male,,Finance ,n/a,8,Neither agree or disagree,Agree,Disagree,Agree,Agree,Disagree,Neither agree or disagree,Disagree,Independent,,100,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Is the other guard lying?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,medior,500,,50,45,3,29322,0,0,3
$4.50 ,,$4.75 ,,4,4,Neither agree or disagree,Disagree,Agree,Disagree,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,No,Its fine!,Only characteristic is that virutally all investors are aware of and understand the bump,no questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,19,Black or African American,,Male,,Economics,3.89,7,Agree,Agree,Agree,Neither agree or disagree,Disagree strongly,Disagree strongly,Agree,Agree,Democrat,,10,the traveler would necessarily end up in the same place in (1) and (2),Black,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,two or more countries press the button and nuclear annihilation occurs,human,1,10,6,9,4,29714,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,4,Agree,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,No,"I think its would be best, if someone new were to change the policy, versus the current CFO.","reporting policy, would be ethical, if you state the right EPS, and state the change that was made",No questions,In Favor (adopt new policy),20,Black or African American,,Female,,Organizational and Strategic Management,3.36,6,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Other,N/A,0,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,meteor,11,1,4,6,1,29358,0,0,1
